,,,,支出内訳,,,,,,,,,
選挙区,議員・会派名,収入,支出合計,調査研究,研修,広聴広報,要請陳情等活動,会議,資料作成,資料購入,事務所,事務,人件費
京都市北区,池田岩太,―,―,―,―,―,―,―,―,―,―,―,―
,浜田良之,720,736,98,0,227,0,0,0,150,140,121,0
,平井斉己,4800,5321,514,0,387,0,0,0,152,1634,642,1992
上京区,迫祐仁,720,776,11,0,355,0,0,0,145,204,61,0
,林田洋,4800,4889,326,0,3478,0,0,0,185,214,207,480
左京区,石田宗久,4800,4745,211,0,1551,0,0,0,127,969,285,1602
,北岡千はる,4800,4657,169,0,484,0,0,0,63,245,337,3360
,島内研,4800,4629,102,0,1371,0,0,0,9,1870,390,887
,光永敦彦,720,704,89,0,417,0,0,0,97,0,101,0
中京区,植田喜裕,4800,5078,10,0,1523,0,0,0,74,1644,680,1146
,田中健志,4800,4835,235,0,233,0,0,0,104,731,570,2961
,原田完,720,906,0,0,450,0,0,0,89,367,0,0
東山区,荒巻隆三,4800,5111,0,0,1363,0,0,0,92,1109,0,2547
山科区,菅谷寛志,4800,4843,91,10,1231,0,0,0,110,1338,442,1620
,豊田貴志,4800,4802,0,0,2056,0,0,0,0,1404,424,918
,林正樹,4800,3314,52,0,82,0,0,0,205,1117,684,1174
下京区,小巻實司,4800,3620,34,0,0,0,0,0,97,902,284,2304
,西脇郁子,720,570,15,4,190,0,0,0,213,0,148,0
南区,秋田公司,4800,4823,0,0,675,0,0,0,0,1523,71,2553
,小鍛治義広,4800,4811,81,207,3757,0,5,0,298,0,463,0
,山内佳子,720,530,127,0,37,1,0,0,214,65,86,0
右京区,岡本和徳,4800,4840,211,2,452,0,0,0,77,1323,473,2301
,加味根史朗,720,835,120,0,368,0,0,0,113,149,86,0
,島田敬子,720,611,100,0,236,0,0,0,168,0,107,0
,二之湯真士,4800,4912,199,0,2359,0,121,0,113,568,388,1165
,諸岡美津,4800,4969,34,56,1069,0,0,0,123,1091,436,2160
西京区,近藤永太郎,4800,5048,22,0,2136,0,0,0,5,1019,453,1414
,佐川公也,4800,5254,0,0,0,0,0,0,86,2251,246,2671
,成宮真理子,720,743,11,0,275,0,0,0,165,232,60,0
伏見区,田渕五十生,4800,4830,2,0,654,0,0,0,47,974,165,2988
,馬場紘平,720,637,81,0,219,0,0,0,123,153,60,0
,前波健史,4800,4899,244,0,2070,0,0,0,47,1116,463,960
,松井陽子,4800,6392,84,0,2186,0,0,0,99,1246,525,2252
,山口勝,4800,4769,623,10,1813,7,120,0,186,841,299,871
,渡辺邦子,4800,4783,262,0,1455,0,0,0,82,1612,658,715
福知山市,井上重典,4800,4804,0,0,1159,0,0,0,67,1687,156,1734
,大橋一夫,4800,6488,44,0,4398,2,0,0,346,59,418,1221
舞鶴市,池田正義,4800,4916,317,0,1986,0,0,0,72,1197,468,877
,岡本忠蔵,4800,4817,371,27,279,26,43,0,103,1723,884,1362
綾部市,四方源太郎,4800,5000,114,0,852,0,31,0,39,1279,563,2122
宇治市・久世郡,藤山裕紀子,―,―,―,―,―,―,―,―,―,―,―,―
,前窪義由紀,720,707,127,0,166,0,0,0,243,86,84,0
,村井弘,4800,4379,115,0,2126,0,0,0,284,1548,305,0
,村田正治,4800,4834,121,0,2000,0,0,0,147,1164,436,966
宮津市・与謝郡,多賀久雄,4800,4810,458,0,712,14,6,0,367,676,316,2260
亀岡市,桂川孝裕,4800,4916,609,0,1136,0,0,0,111,963,689,1408
,田中英夫,4800,4809,90,0,965,0,0,0,246,1315,357,1836
城陽市,奥田敏晴,2000,2506,12,0,1569,0,0,0,83,72,123,648
,酒井常雄,4800,4734,134,2,1069,0,0,0,104,1426,678,1322
,園崎弘道,―,―,―,―,―,―,―,―,―,―,―,―
向日市,安田守,4800,5283,172,0,760,0,0,0,184,1501,900,1767
長岡京市・乙訓郡,中小路健吾,4800,4792,151,66,1319,39,0,3,241,440,320,2212
